0023-20E3	HASH
002A-20E3	KEYCAP STAR
0030-20E3	ZERO
0031-20E3	ONE
0032-20E3	TWO
0033-20E3	THREE
0034-20E3	FOUR
0035-20E3	FIVE
0036-20E3	SIX
0037-20E3	SEVEN
0038-20E3	EIGHT
0039-20E3	NINE
00A9	COPYRIGHT
00AE	REGISTERED
1F004	MAHJONG
1F0CF	BLACK JOKER
1F170	A
1F171	B
1F17E	O2
1F17F	PARKING
1F18E	AB
1F191	CL
1F192	COOL
1F193	FREE
1F194	ID
1F195	NEW
1F196	NG
1F197	OK
1F198	SOS
1F199	UP
1F19A	VS
1F1E6-1F1E8	FLAG AC
1F1E6-1F1E9	FLAG AD
1F1E6-1F1EA	FLAG AE
1F1E6-1F1EB	FLAG AF
1F1E6-1F1EC	FLAG AG
1F1E6-1F1EE	FLAG AI
1F1E6-1F1F1	FLAG AL
1F1E6-1F1F2	FLAG AM
1F1E6-1F1F4	FLAG AO
1F1E6-1F1F6	FLAG AQ
1F1E6-1F1F7	FLAG AR
1F1E6-1F1F8	FLAG AS
1F1E6-1F1F9	FLAG AT
1F1E6-1F1FA	FLAG AU
1F1E6-1F1FC	FLAG AW
1F1E6-1F1FD	FLAG AX
1F1E6-1F1FF	FLAG AZ
1F1E7-1F1E6	FLAG BA
1F1E7-1F1E7	FLAG BB
1F1E7-1F1E9	FLAG BD
1F1E7-1F1EA	FLAG BE
1F1E7-1F1EB	FLAG BF
1F1E7-1F1EC	FLAG BG
1F1E7-1F1ED	FLAG BH
1F1E7-1F1EE	FLAG BI
1F1E7-1F1EF	FLAG BJ
1F1E7-1F1F1	FLAG BL
1F1E7-1F1F2	FLAG BM
1F1E7-1F1F3	FLAG BN
1F1E7-1F1F4	FLAG BO
1F1E7-1F1F6	FLAG BQ
1F1E7-1F1F7	FLAG BR
1F1E7-1F1F8	FLAG BS
1F1E7-1F1F9	FLAG BT
1F1E7-1F1FB	FLAG BV
1F1E7-1F1FC	FLAG BW
1F1E7-1F1FE	FLAG BY
1F1E7-1F1FF	FLAG BZ
1F1E8-1F1E6	FLAG CA
1F1E8-1F1E8	FLAG CC
1F1E8-1F1E9	FLAG CD
1F1E8-1F1EB	FLAG CF
1F1E8-1F1EC	FLAG CG
1F1E8-1F1ED	FLAG CH
1F1E8-1F1EE	FLAG CI
1F1E8-1F1F0	FLAG CK
1F1E8-1F1F1	FLAG CL
1F1E8-1F1F2	FLAG CM
1F1E8-1F1F3	CN
1F1E8-1F1F4	FLAG CO
1F1E8-1F1F5	FLAG CP
1F1E8-1F1F7	FLAG CR
1F1E8-1F1FA	FLAG CU
1F1E8-1F1FB	FLAG CV
1F1E8-1F1FC	FLAG CW
1F1E8-1F1FD	FLAG CX
1F1E8-1F1FE	FLAG CY
1F1E8-1F1FF	FLAG CZ
1F1E9-1F1EA	DE
1F1E9-1F1EC	FLAG DG
1F1E9-1F1EF	FLAG DJ
1F1E9-1F1F0	FLAG DK
1F1E9-1F1F2	FLAG DM
1F1E9-1F1F4	FLAG DO
1F1E9-1F1FF	FLAG DZ
1F1EA-1F1E6	FLAG EA
1F1EA-1F1E8	FLAG EC
1F1EA-1F1EA	FLAG EE
1F1EA-1F1EC	FLAG EG
1F1EA-1F1ED	FLAG EH
1F1EA-1F1F7	FLAG ER
1F1EA-1F1F8	ES
1F1EA-1F1F9	FLAG ET
